"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app-routing.module.ts", "TypeScript", 29, 0, 0, 0, 4, 33
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.component.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.component.ts", "TypeScript", 12, 0, 0, 0, 4, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.module.ts", "TypeScript", 34, 0, 0, 0, 2, 36
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\auth.module.ts", "TypeScript", 29, 0, 0, 0, 5, 34
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\auth.routing.module.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\guards\auth.guard.ts", "TypeScript", 23, 0, 0, 0, 10, 33
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\interfaces\jwt.interface.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\interfaces\user.interface.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.html", "HTML", 0, 0, 48, 0, 11, 59
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.spec.ts", "TypeScript", 17, 0, 0, 0, 6, 23
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.ts", "TypeScript", 105, 0, 0, 6, 30, 141
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\services\auth.service.spec.ts", "TypeScript", 41, 0, 0, 6, 17, 64
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\services\auth.service.ts", "TypeScript", 79, 0, 0, 5, 34, 118
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\cocinero-routing.module.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\cocinero.module.ts", "TypeScript", 44, 0, 0, 0, 15, 59
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.html", "HTML", 0, 0, 17, 0, 10, 27
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.scss", "SCSS", 0, 12, 0, 0, 1, 13
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.spec.ts", "TypeScript", 17, 0, 0, 0, 5, 22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\interfaces\order.interface.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\interfaces\orderHCocinero.interface.ts", "TypeScript", 54, 0, 0, 0, 11, 65
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.html", "HTML", 0, 0, 95, 19, 26, 140
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.scss", "SCSS", 0, 46, 0, 1, 5, 52
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.ts", "TypeScript", 232, 0, 0, 31, 63, 326
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\services\cocinero.service.ts", "TypeScript", 61, 0, 0, 3, 23, 87
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\customer.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\image.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\product.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.component.html", "HTML", 0, 0, 18, 0, 0, 18
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.component.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.module.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\auth-routing.module.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\auth.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.component.html", "HTML", 0, 0, 18, 0, 0, 18
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.component.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.module.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.component.html", "HTML", 0, 0, 28, 0, 4, 32
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.component.ts", "TypeScript", 19, 0, 0, 0, 5, 24
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.module.ts", "TypeScript", 22, 0, 0, 0, 2, 24
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.component.html", "HTML", 0, 0, 232, 0, 8, 240
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.component.ts", "TypeScript", 90, 0, 0, 0, 14, 104
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.module.ts", "TypeScript", 26, 0, 0, 0, 2, 28
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.html", "HTML", 0, 0, 90, 0, 29, 119
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.scss", "SCSS", 0, 15, 0, 0, 1, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.module.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.component.html", "HTML", 0, 0, 335, 0, 27, 362
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.component.ts", "TypeScript", 10, 0, 0, 0, 4, 14
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.module.ts", "TypeScript", 22, 0, 0, 0, 2, 24
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\notfound\notfound.component.html", "HTML", 0, 0, 39, 0, 0, 39
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\notfound\notfound.component.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\crud\crud-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\crud\crud.component.html", "HTML", 0, 0, 103, 0, 10, 113
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\crud\crud.component.ts", "TypeScript", 110, 0, 0, 2, 30, 142
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\crud\crud.module.ts", "TypeScript", 40, 0, 0, 0, 2, 42
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\empty\emptydemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\empty\emptydemo.component.html", "HTML", 0, 0, 160, 4, 46, 210
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\empty\emptydemo.component.ts", "TypeScript", 106, 0, 0, 31, 62, 199
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\empty\emptydemo.module.ts", "TypeScript", 26, 0, 0, 1, 14, 41
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\pages-routing.module.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\pages.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo.component.html", "HTML", 0, 0, 87, 0, 4, 91
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo.component.ts", "TypeScript", 21, 0, 0, 0, 7, 28
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo.module.ts", "TypeScript", 18, 0, 0, 0, 2, 20
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo.scss", "SCSS", 0, 18, 0, 0, 3, 21
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\blocks\blocks.component.html", "HTML", 0, 0, 391, 0, 19, 410
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\blocks\blocks.component.ts", "TypeScript", 387, 0, 0, 0, 20, 407
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\blockviewer\blockviewer.component.scss", "SCSS", 0, 90, 0, 0, 16, 106
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\blockviewer\blockviewer.component.ts", "TypeScript", 54, 0, 0, 1, 16, 71
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\primeblocks-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\primeblocks.module.ts", "TypeScript", 29, 0, 0, 0, 2, 31
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\button\buttondemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\button\buttondemo.component.html", "HTML", 0, 0, 158, 0, 12, 170
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\button\buttondemo.component.ts", "TypeScript", 22, 0, 0, 0, 7, 29
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\button\buttondemo.module.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\charts\chartsdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\charts\chartsdemo.component.html", "HTML", 0, 0, 30, 0, 5, 35
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\charts\chartsdemo.component.ts", "TypeScript", 242, 0, 0, 0, 28, 270
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\charts\chartsdemo.module.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\file\filedemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\file\filedemo.component.html", "HTML", 0, 0, 17, 0, 2, 19
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\file\filedemo.component.ts", "TypeScript", 19, 0, 0, 0, 8, 27
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\file\filedemo.module.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\floatlabel\floatlabeldemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\floatlabel\floatlabeldemo.component.html", "HTML", 0, 0, 86, 0, 1, 87
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\floatlabel\floatlabeldemo.component.ts", "TypeScript", 47, 0, 0, 3, 21, 71
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\floatlabel\floatlabeldemo.module.ts", "TypeScript", 34, 0, 0, 0, 2, 36
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\formlayout\formlayoutdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\formlayout\formlayoutdemo.component.html", "HTML", 0, 0, 102, 0, 6, 108
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\formlayout\formlayoutdemo.component.ts", "TypeScript", 23, 0, 0, 0, 10, 33
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\formlayout\formlayoutdemo.module.ts", "TypeScript", 34, 0, 0, 0, 2, 36
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\input\inputdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\input\inputdemo.component.html", "HTML", 0, 0, 184, 0, 19, 203
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\input\inputdemo.component.ts", "TypeScript", 55, 0, 0, 0, 26, 81
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\input\inputdemo.module.ts", "TypeScript", 58, 0, 0, 0, 2, 60
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\invalid\invalidstatedemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\invalid\invalidstatedemo.component.html", "HTML", 0, 0, 50, 0, 4, 54
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\invalid\invalidstatedemo.component.ts", "TypeScript", 45, 0, 0, 2, 20, 67
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\invalid\invalidstatedemo.module.ts", "TypeScript", 36, 0, 0, 0, 2, 38
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\list\listdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\list\listdemo.component.html", "HTML", 0, 0, 84, 0, 5, 89
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\list\listdemo.component.ts", "TypeScript", 55, 0, 0, 0, 19, 74
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\list\listdemo.module.ts", "TypeScript", 28, 0, 0, 0, 2, 30
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\media\mediademo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\media\mediademo.component.html", "HTML", 0, 0, 50, 0, 3, 53
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\media\mediademo.component.ts", "TypeScript", 55, 0, 0, 0, 10, 65
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\media\mediademo.module.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\menus\confirmation.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
